content,topic,subject,keywords
"Genetics is the study of heredity. Johann Gregor Mendel set the framework for genetics long before chromosomes or genes had been identified, at a time when meiosis was not well understood. Mendel selected a simple biological system and conducted methodical, quantitative analyses using large sample sizes. Because of Mendel's work, the fundamental principles of heredity were revealed. We now know that genes, carried on chromosomes, are the basic functional units of heredity with the ability to be replicated, expressed, or mutated. Today, the postulates put forth by Mendel form the basis of classical, or Mendelian, genetics. Not all traits are transmitted from parents to offspring according to Mendelian genetics, but Mendel's experiments serve as an excellent starting point for thinking about inheritance.",Introduction to Patterns of Inheritance,Biology,"introduction chapter, chapter patterns, laws, mendel, gregor mendel"
"Today, members of this plant family are found throughout the southern hemisphere (shown in red). The great diversification of the marsupials in Australia and the absence of other mammals reflects that island continent's long isolation. Australia has an abundance of endemic species species found nowhere else which is typical of islands whose isolation by expanses of water prevents migration of species to other regions. Over time, these species diverge evolutionarily into new species that look very different from their ancestors that may exist on the mainland. The marsupials of Australia, the finches on the Gal pagos, and many species on the Hawaiian Islands are all found nowhere else but on their island, yet display distant relationships to ancestral species on mainlands. Molecular Biology Like anatomical structures, the structures of the molecules of life reflect descent with modification. Evidence of a common ancestor for all of life is reflected in the universality of DNA as the genetic material and of the near universality of the genetic code and the machinery of DNA replication and expression. Fundamental divisions in life between the three domains are reflected in major structural differences in otherwise conservative structures such as the components of ribosomes and the structures of membranes. In general, the relatedness of groups of organisms is reflected in the similarity of their DNA sequences exactly the pattern that would be expected from descent and diversification from a common ancestor. DNA sequences have also shed light on some of the mechanisms of evolution. For example, it is clear that the evolution of new functions for proteins commonly occurs after gene duplication events. These duplications are a kind of mutation in which an entire gene is added as an extra copy (or many copies) in the genome. These duplications allow the free modification of one copy by mutation, selection, and drift, while the second copy continues to produce a functional protein. This allows the original function for the protein to be kept, while evolutionary forces tweak the copy until it functions in a new way. 11.4 Speciation By the end of this section, you will be able to: Describe the definition of species and how species are identified as different Explain allopatric and sympatric speciation Describe adaptive radiation The biological definition of species, which works for sexually reproducing organisms, is a group of actually or potentially interbreeding individuals. According to this definition, one species is distinguished from another by the possibility of matings between individuals from each species to produce fertile offspring. There are exceptions to this rule. Many species are similar enough that hybrid offspring are possible and may often occur in nature, but for the majority of species this rule generally holds. In fact, the presence of hybrids between similar species suggests 11.4 Speciation that they may have descended from a single interbreeding species and that the speciation process may not yet be completed. Given the extraordinary diversity of life on the planet there must be mechanisms for speciation: the formation of two species from one original species. Darwin envisioned this process as a branching event and diagrammed the process in the only illustration found in On the Origin of Species . For speciation to occur, two new populations must be formed from one original population, and they must evolve in such a way that it becomes impossible for individuals from the two new populations to interbreed. Biologists have proposed mechanisms by which this could occur that fall into two broad categories. Allopatric speciation, meaning speciation in other homelands, involves a geographic separation of populations from a parent species and subsequent evolution. Sympatric speciation, meaning speciation in the same homeland, involves speciation occurring within a parent species while remaining in one location. Biologists think of speciation events as the splitting of one ancestral species into two descendant species. There is no reason why there might not be more than two species formed at one time except that it is less likely and such multiple events can also be conceptualized as single splits occurring close in time. The diagram shows similarities to phylogenetic charts that are drawn today to illustrate the relationships of species. (b) Modern elephants evolved from the Palaeomastodon, a species that lived in Egypt 50 million years ago.",11.4 Speciation,Biology,"species, supercontinent gondwana, gondwana broke, speciation, proteacea family"
"9.3 Transcription By the end of this section, you will be able to: Explain the central dogma Explain the main steps of transcription Describe how eukaryotic mRNA is processed In both prokaryotes and eukaryotes, the second function of DNA (the first was replication) is to provide the information needed to construct the proteins necessary so that the cell can perform all of its functions. To do this, the DNA is read or transcribed into an mRNA molecule. The mRNA then provides the code to form a protein by a process called translation. Through the processes of transcription and translation, a protein is built with a specific sequence of amino acids that was originally encoded in the DNA. This module discusses the details of transcription. The Central Dogma: DNA Encodes RNA; RNA Encodes Protein The flow of genetic information in cells from DNA to mRNA to protein is described by the central dogma , which states that genes specify the sequences of mRNAs, which in turn specify the sequences of proteins. The copying of DNA to mRNA is relatively straightforward, with one nucleotide being added to the mRNA strand for every complementary nucleotide read in the DNA strand. The translation to protein is more complex because groups of three mRNA nucleotides correspond to one amino acid of the protein sequence. However, as we shall see in the next module, the translation to protein is still systematic, such that nucleotides to correspond to amino acid 1, nucleotides to correspond to amino acid 2, and so on. Transcription: from DNA to mRNA Both prokaryotes and eukaryotes perform fundamentally the same process of transcription, with the important difference of the membrane-bound nucleus in eukaryotes. With the genes bound in the nucleus, transcription occurs in the nucleus of the cell and the mRNA transcript must be transported to the cytoplasm. The prokaryotes, which include bacteria and archaea, lack membrane-bound nuclei and other organelles, and transcription occurs in the cytoplasm of the cell. In both prokaryotes and eukaryotes, transcription occurs in three main stages: initiation, elongation, and termination. Initiation Transcription requires the DNA double helix to partially unwind in the region of mRNA synthesis. The region of unwinding is called a transcription bubble. The DNA sequence onto which the proteins and enzymes involved in transcription bind to initiate the process is called a promoter. In most cases, promoters exist upstream of the genes they regulate. The specific sequence of a promoter is very important because it determines whether the corresponding gene is transcribed all of the time, some of the time, or hardly at all . 9.3 Transcription Enzymes and other proteins involved in transcription bind at the promoter. Elongation Transcription always proceeds from one of the two DNA strands, which is called the template strand. The mRNA product is complementary to the template strand and is almost identical to the other DNA strand, called the nontemplate strand, with the exception that RNA contains a uracil (U) in place of the thymine (T) found in DNA. During elongation, an enzyme called RNA polymerase proceeds along the DNA template adding nucleotides by base pairing with the DNA template in a manner similar to DNA replication, with the difference that an RNA strand is being synthesized that does not remain bound to the DNA template. As elongation proceeds, the DNA is continuously unwound ahead of the core enzyme and rewound behind it . Termination Once a gene is transcribed, the prokaryotic polymerase needs to be instructed to dissociate from the DNA template and liberate the newly made mRNA. Depending on the gene being transcribed, there are two kinds of termination signals, but both involve repeated nucleotide sequences in the DNA template that result in RNA polymerase stalling, leaving the DNA template, and freeing the mRNA transcript. On termination, the process of transcription is complete. In a prokaryotic cell, by the time termination occurs, the transcript would already have been used to partially synthesize numerous copies of the encoded protein because these processes can occur concurrently using multiple ribosomes (polyribosomes) . In contrast, the presence of a nucleus in eukaryotic cells precludes simultaneous transcription and translation.",9.3 Transcription,Biology,"dna, learning objectives, dna template, transcription, transcription learning"
"Another scenario in which populations might experience a strong influence of genetic drift is if some portion of the population leaves to start a new population in a new location, or if a population gets divided by a physical barrier of some kind. In this situation, those individuals are unlikely to be representative of the entire population which results in the founder effect. The founder effect occurs when the genetic structure matches that of the new population's founding fathers and mothers. The founder effect is believed to have been a key factor in the genetic history of the Afrikaner population of Dutch settlers in South Africa, as evidenced by mutations that are common in Afrikaners but rare in most other populations. This is likely due to a higher-than-normal proportion of the founding colonists, which were a small sample of the original population, carried these mutations. As a result, the population expresses unusually high incidences of Huntington's disease (HD) and Fanconi anemia (FA), a genetic disorder known to cause bone marrow and congenital abnormalities, and even cancer.4 LINK T O LE ARNING Visit this site ( to learn more about genetic drift and to run simulations of allele changes caused by drift. Gene Flow Another important evolutionary force is gene flow, or the flow of alleles in and out of a population resulting from the migration of individuals or gametes . While some populations are fairly stable, others experience more flux. Many plants, for example, send their seeds far and wide, by wind or in the guts of animals; these seeds may introduce alleles common in the source population to a new population in which they are rare. In the example shown here, the brown allele is introduced into the green population. 11.3 Evidence of Evolution By the end of this section, you will be able to: Explain sources of evidence for evolution Define homologous and vestigial structures The evidence for evolution is compelling and extensive. Looking at every level of organization in living systems, biologists see the signature of past and present evolution. Darwin dedicated a large portion of his book, On the Origin of Species, identifying patterns in nature that were consistent with evolution and since Darwin our understanding has become clearer and broader. Fossils Fossils provide solid evidence that organisms from the past are not the same as those found today; fossils show the gradual evolutionary changes over time. Scientists determine the age of fossils and categorize them all over the world to determine when the organisms lived relative to each other. The resulting fossil record tells the story of the past, and shows the evolution of form over millions of years . For example, highly detailed fossil A. J. Tipping et al., Molecular and Genealogical Evidence for a Founder Effect in Fanconi Anemia Families of the Afrikaner Population of South Africa, PNAS 98, no. (2001): 5734-5739, doi: 10.1073/pnas.091402398. 11 Evolution and Its Processes records have been recovered for sequences of species in the evolution of whales and modern horses. The fossil record of horses in North America is especially rich and many contain transition fossils: those showing intermediate anatomy between earlier and later forms. The fossil record extends back to a dog-like ancestor some million years ago that gave rise to the first horse-like species to million years ago in the genus Eohippus. The series of fossils tracks the change in anatomy resulting from a gradual drying trend that changed the landscape from a forested one to a prairie. Successive fossils show the evolution of teeth shapes and foot and leg anatomy to a grazing habit, with adaptations for escaping predators, for example in species of Mesohippus found from to million years ago. Later species showed gains in size, such as those of Hipparion, which existed from about to million years ago. The fossil record shows several adaptive radiations in the horse lineage, which is now much reduced to only one genus, Equus, with several species. The species depicted are only four from a very diverse lineage that contains many branches, dead ends, and adaptive radiations. One of the trends, depicted here is the evolutionary tracking of a drying climate and increase in prairie versus forest habitat reflected in forms that are more adapted to grazing and predator escape through running. Przewalski's horse is one of a few living species of horse. Anatomy and Embryology Another type of evidence for evolution is the presence of structures in organisms that share the same basic form.",11.3 Evidence of Evolution,Biology,"population, founder effect, evolution, species, afrikaner population"
"LINK T O LE ARNING Watch this Assignment Discovery: Biomes ( for an overview of biomes. To explore further, select one of the biomes on the extended playlist: desert, savanna, temperate forest, temperate grassland, tropic, tundra. 20.4 Aquatic and Marine Biomes By the end of this section, you will be able to: Describe the effects of abiotic factors on the composition of plant and animal communities in aquatic biomes Compare the characteristics of the ocean zones Summarize the characteristics of standing water and flowing water in freshwater biomes Like terrestrial biomes, aquatic biomes are influenced by abiotic factors. In the case of aquatic biomes the abiotic factors include light, temperature, flow regime, and dissolved solids. The aquatic medium water has different physical and chemical properties than air. Even if the water in a pond or other body of water is perfectly clear (there are no suspended particles), water, on its own, absorbs light. As one descends deep enough into a body of water, eventually there will be a depth at which the sunlight cannot reach. While there are some abiotic and biotic factors in a terrestrial ecosystem that shade light (like fog, dust, or insect swarms), these are not usually permanent features of the environment. The importance of light in aquatic biomes is central to the communities of organisms found in both freshwater and marine ecosystems because it controls productivity through photosynthesis. In addition to light, solar radiation warms bodies of water and many exhibit distinct layers of water at differing temperatures. The water temperature affects the organisms rates of growth and the amount of dissolved oxygen available for respiration. The movement of water is also important in many aquatic biomes. In rivers, the organisms must obviously be adapted to the constant movement of the water around them, but even in larger bodies of water such as the oceans, regular currents and tides impact availability of nutrients, food resources, and the presence of the water itself. Finally, all natural water contains dissolved solids, or salts. Fresh water contains low levels of such dissolved substances because the water is rapidly recycled through evaporation and precipitation. The oceans have a relatively constant high salt content. Aquatic habitats at the interface of marine and freshwater ecosystems have complex and variable salt environments that range between freshwater and marine levels. These are known as brackish water environments. Lakes located in closed drainage basins concentrate salt in their waters and can have 20 Ecosystems and the Biosphere extremely high salt content that only a few and highly specialized species are able to inhabit. Marine Biomes The ocean is a continuous body of salt water that is relatively uniform in chemical composition. It is a weak solution of mineral salts and decayed biological matter. Within the ocean, coral reefs are a second type of marine biome. Estuaries, coastal areas where salt water and fresh water mix, form a third unique marine biome. The ocean is categorized by several zones . All of the ocean's open water is referred to as the pelagic realm (or zone). The benthic realm (or zone) extends along the ocean bottom from the shoreline to the deepest parts of the ocean floor. From the surface to the bottom or the limit to which photosynthesis occurs is the photic zone (approximately m or ft). At depths greater than m, light cannot penetrate; thus, this is referred to as the aphotic zone. The majority of the ocean is aphotic and lacks sufficient light for photosynthesis. The deepest part of the ocean, the Challenger Deep (in the Mariana Trench, located in the western Pacific Ocean), is about 11,000 m (about 6.8 mi) deep. To give some perspective on the depth of this trench, the ocean is, on average, m or 14,000 ft deep. Ocean The physical diversity of the ocean has a significant influence on the diversity of organisms that live within it. The ocean is categorized into different zones based on how far light reaches into the water. Each zone has a distinct group of species adapted to the biotic and abiotic conditions particular to that zone. The intertidal zone is the oceanic region that is closest to land. With each tidal cycle, the intertidal zone alternates between being inundated with water and left high and dry. Generally, most people think of this portion of the ocean as a sandy beach. In some cases, the intertidal zone is indeed a sandy beach, but it can also be rocky, muddy, or dense with tangled roots in mangrove forests. The intertidal zone is an extremely variable environment because of tides. Organisms may be exposed to air at low tide and are underwater during high tide.",20.4 Aquatic and Marine Biomes,Biology,"wildlife refuge, national wildlife, arctic national, water, aquatic biomes"
"carbon fixation. For instance, photosynthetic dinoflagellates called zooxanthellae pass on most of their energy to the coral polyps that house them . In this mutually beneficial relationship, the polyps provide a protective environment and nutrients for the zooxanthellae. The polyps secrete the calcium carbonate that builds coral reefs. Without dinoflagellate symbionts, corals lose algal pigments in a process called coral bleaching, and they eventually die. This explains why reef-building corals do not reside in waters deeper than meters: Not enough light reaches those depths for dinoflagellates to photosynthesize. Protists themselves and their products of photosynthesis are essential directly or indirectly to the survival of organisms ranging from bacteria to mammals. As primary producers, protists feed a large proportion of the world's aquatic species. (On land, terrestrial plants serve as primary producers.) In fact, approximately one-quarter of the world's photosynthesis is conducted by protists, particularly dinoflagellates, diatoms, and multicellular algae. Protists do not create food sources only for sea-dwelling organisms. For instance, certain anaerobic species exist in the digestive tracts of termites and wood-eating cockroaches, where they contribute to digesting cellulose ingested by these insects as they bore through wood. The actual enzyme used to digest the cellulose is actually produced by bacteria living within the protist cells. The termite provides the food source to the protist and its bacteria, and the protist and bacteria provide nutrients to the termite by breaking down the cellulose. Agents of Decomposition Many fungus-like protists are saprobes, organisms that feed on dead organisms or the waste matter produced by organisms (saprophyte is an equivalent term), and are specialized to absorb nutrients from nonliving organic matter. For instance, many types of oomycetes grow on dead animals or algae. Saprobic protists have the essential function of returning inorganic nutrients to the soil and water. This process allows for new plant growth, which in turn generates sustenance for other organisms along the food chain. Indeed, without saprobic species, such as protists, fungi, and bacteria, life would cease to exist as all organic carbon became tied up in dead organisms. 13.4 Fungi By the end of this section, you will be able to: List the characteristics of fungi Describe fungal parasites and pathogens of plants and infections in humans Describe the importance of fungi to the environment Summarize the beneficial role of fungi in food and beverage preparation and in the chemical and pharmaceutical industry 13 Diversity of Microbes, Fungi, and Protists The brightly colored fruiting bodies of this (b) coral fungus are displayed. This (c) electron micrograph shows the spore-bearing structures of Aspergillus, a type of toxic fungi found mostly in soil and plants. The word fungus comes from the Latin word for mushroom. Indeed, the familiar mushrooms are fungi, but there are many other types of fungi as well . The kingdom Fungi includes an enormous variety of living organisms. While scientists have identified about 135,000 species of fungi, this is only a fraction of the more than 1.5 million species of fungus likely present on Earth. Edible mushrooms, yeasts, black mold, and Penicillium notatum (the producer of the antibiotic penicillin) are all members of the kingdom Fungi, which belongs to the domain Eukarya. As eukaryotes, a typical fungal cell contains a true nucleus and many membrane-bound organelles. Fungi were once considered plant-like organisms; however, DNA comparisons have shown that fungi are more closely related to animals than plants. Fungi are not capable of photosynthesis: They use complex organic compounds as sources of energy and carbon. Some fungal organisms multiply only asexually, whereas others undergo both asexual reproduction and sexual reproduction. Most fungi produce a large number of spores that are disseminated by the wind. Like bacteria, fungi play an essential role in ecosystems, because they are decomposers and participate in the cycling of nutrients by breaking down organic materials into simple molecules. Fungi often interact with other organisms, forming mutually beneficial or mutualistic associations. Fungi also cause serious infections in plants and animals. For example, Dutch elm disease is a particularly devastating fungal infection that destroys many native species of elm (Ulmus spp.). The fungus infects the vascular system of the tree.",13.4 Fungi,Biology,"fungi, organisms, protists, coral polyps, coral"
"Glycolysis is the first step in the breakdown of glucose to extract energy for cell metabolism. Many living organisms carry out glycolysis as part of their metabolism. Glycolysis takes place in the cytoplasm of most prokaryotic and all eukaryotic cells. Glycolysis begins with the six-carbon, ring-shaped structure of a single glucose molecule and ends with two molecules of a three-carbon sugar called pyruvate. Glycolysis consists of two distinct phases. In the first part of the glycolysis pathway, energy is used to make adjustments so that the six-carbon sugar molecule can be split evenly into two three-carbon pyruvate molecules. In the second part of glycolysis, ATP and nicotinamide-adenine dinucleotide (NADH) are produced . If the cell cannot catabolize the pyruvate molecules further, it will harvest only two ATP molecules from one molecule of glucose. For example, mature mammalian red blood cells are only capable of glycolysis, which is their sole source of ATP. If glycolysis is interrupted, these cells would eventually die. 4.3 Citric Acid Cycle and Oxidative Phosphorylation By the end of this section, you will be able to: Describe the location of the citric acid cycle and oxidative phosphorylation in the cell Describe the overall outcome of the citric acid cycle and oxidative phosphorylation in terms of the products of each Describe the relationships of glycolysis, the citric acid cycle, and oxidative phosphorylation in terms of their inputs and outputs. The Citric Acid Cycle In eukaryotic cells, the pyruvate molecules produced at the end of glycolysis are transported into mitochondria, which are sites of cellular respiration. If oxygen is available, aerobic respiration will go forward. In mitochondria, pyruvate will be transformed into a two-carbon acetyl group (by removing a molecule of carbon dioxide) that will be 4.3 Citric Acid Cycle and Oxidative Phosphorylation picked up by a carrier compound called coenzyme A (CoA), which is made from vitamin B5. The resulting compound is called acetyl CoA. . Acetyl CoA can be used in a variety of ways by the cell, but its major function is to deliver the acetyl group derived from pyruvate to the next pathway in glucose catabolism. Like the conversion of pyruvate to acetyl CoA, the citric acid cycle in eukaryotic cells takes place in the matrix of the mitochondria. Unlike glycolysis, the citric acid cycle is a closed loop: The last part of the pathway regenerates the compound used in the first step. The eight steps of the cycle are a series of chemical reactions that produces two carbon dioxide molecules, one ATP molecule (or an equivalent), and reduced forms (NADH and FADH2) of NAD+ and FAD+, important coenzymes in the cell. Part of this is considered an aerobic pathway (oxygen-requiring) because the NADH and FADH2 produced must transfer their electrons to the next pathway in the system, which will use oxygen. If oxygen is not present, this transfer does not occur. Two carbon atoms come into the citric acid cycle from each acetyl group. Two carbon dioxide molecules are released on each turn of the cycle; however, these do not contain the same carbon atoms contributed by the acetyl group on that turn of the pathway. The two acetyl-carbon atoms will eventually be released on later turns of the cycle; in this way, all six carbon atoms from the original glucose molecule will be eventually released as carbon dioxide. It takes two turns of the cycle to process the equivalent of one glucose molecule. Each turn of the cycle forms three high-energy NADH molecules and one high-energy FADH2 molecule. These high-energy carriers will connect with the last portion of aerobic respiration to produce ATP molecules. One ATP (or an equivalent) is also made in each cycle. Several of the intermediate compounds in the citric acid cycle can be used in synthesizing non- essential amino acids; therefore, the cycle is both anabolic and catabolic. Oxidative Phosphorylation You have just read about two pathways in glucose catabolism glycolysis and the citric acid cycle that generate ATP. Most of the ATP generated during the aerobic catabolism of glucose, however, is not generated directly from these pathways. Rather, it derives from a process that begins with passing electrons through a series of chemical reactions to a final electron acceptor, oxygen. These reactions take place in specialized protein complexes located in the inner membrane of the mitochondria of eukaryotic organisms and on the inner part of the cell membrane of prokaryotic organisms. The energy of the electrons is harvested and used to generate an electrochemical gradient across the inner mitochondrial membrane. The potential energy of this gradient is used to generate ATP.",4.3 Citric Acid Cycle and Oxidative Phosphorylation,Biology,"citric acid, acid cycle, cycle, acid, citric"
"INTRODUCTION CHAPTER Cell Structure and Function 3.1 How Cells Are Studied 3.2 Comparing Prokaryotic and Eukaryotic Cells 3.3 Eukaryotic Cells 3.4 The Cell Membrane 3.5 Passive Transport 3.6 Active Transport Close your eyes and picture a brick wall. What is the basic building block of that wall? It is a single brick, of course. Like a brick wall, your body is composed of basic building blocks, and the building blocks of your body are cells. Your body has many kinds of cells, each specialized for a specific purpose. Just as a home is made from a variety of building materials, the human body is constructed from many cell types. For example, epithelial cells protect the surface of the body and cover the organs and body cavities within. Bone cells help to support and protect the body. Cells of the immune system fight invading bacteria. Additionally, red blood cells carry oxygen throughout the body. Each of these cell types plays a vital role during the growth, development, and day-to-day maintenance of the body. In spite of their enormous variety, however, all cells share certain fundamental characteristics. 3.1 How Cells Are Studied By the end of this section, you will be able to: Describe the roles of cells in organisms Compare and contrast light microscopy and electron microscopy Summarize the cell theory A cell is the smallest unit of a living thing. A living thing, like you, is called an organism. Thus, cells are the basic building blocks of all organisms.",Introduction to Cell Structure and Function,Biology,"passive transport, active transport, transport close, cells, cell membrane"
"INTRODUCTION CHAPTER Reproduction at the Cellular Level 6.1 The Genome 6.2 The Cell Cycle 6.3 Cancer and the Cell Cycle 6.4 Prokaryotic Cell Division The individual sexually reproducing organism including humans begins life as a fertilized egg, or zygote. Trillions of cell divisions subsequently occur in a controlled manner to produce a complex, multicellular human. In other words, that original single cell was the ancestor of every other cell in the body. Once a human individual is fully grown, cell reproduction is still necessary to repair or regenerate tissues. For example, new blood and skin cells are constantly being produced. All multicellular organisms use cell division for growth, and in most cases, the maintenance and repair of cells and tissues. Single-celled organisms use cell division as their method of reproduction. 6.1 The Genome By the end of this section, you will be able to: Describe the prokaryotic and eukaryotic genome Distinguish between chromosomes, genes, and traits The continuity of life from one cell to another has its foundation in the reproduction of cells by way of the cell cycle. The cell cycle is an orderly sequence of events in the life of a cell from the division of a single parent cell to produce two new daughter cells, to the subsequent division of those daughter cells. The mechanisms involved in the cell cycle are highly conserved across eukaryotes. Organisms as diverse as protists, plants, and animals employ similar steps. Genomic DNA Before discussing the steps a cell undertakes to replicate, a deeper understanding of the structure and function of a cell's genetic information is necessary. A cell's complete complement of DNA is called its genome. In prokaryotes, the genome is composed of a single, double-stranded DNA After four rounds of cell division, (b) there are cells, as seen in this SEM image. After many rounds of cell division, the individual develops into a complex, multicellular organism, as seen in this (c) mature sea urchin.",Introduction to Reproduction at the Cellular Level,Biology,"cellular level, cell, cell division, cells, cell cycle"
"Cell Component Function Present in Prokaryotes? Present in Animal Cells? Present in Plant Cells? Cytoskeleton Maintains cell's shape, secures organelles in specific positions, allows cytoplasm and vesicles to move within the cell, and enables unicellular organisms to move independently Yes Yes Yes Flagella Cellular locomotion Some Some No, except for some plant sperm. Cilia Cellular locomotion, movement of particles along extracellular surface of plasma membrane, and filtration No Some No TABLE 3.1 This table provides the components of prokaryotic and eukaryotic cells and their respective functions. 3.4 The Cell Membrane By the end of this section, you will be able to: Understand the fluid mosaic model of membranes Describe the functions of phospholipids, proteins, and carbohydrates in membranes A cell's plasma membrane defines the boundary of the cell and determines the nature of its contact with the environment. Cells exclude some substances, take in others, and excrete still others, all in controlled quantities. Plasma membranes enclose the borders of cells, but rather than being a static bag, they are dynamic and constantly in flux. The plasma membrane must be sufficiently flexible to allow certain cells, such as red blood cells and white blood cells, to change shape as they pass through narrow capillaries. These are the more obvious functions of a plasma membrane. In addition, the surface of the plasma membrane carries markers that allow cells to recognize one another, which is vital as tissues and organs form during early development, and which later plays a role in the self versus non-self distinction of the immune response. The plasma membrane also carries receptors, which are attachment sites for specific substances that interact with the cell. Each receptor is structured to bind with a specific substance. For example, surface receptors of the membrane create changes in the interior, such as changes in enzymes of metabolic pathways. These metabolic pathways might be vital for providing the cell with energy, making specific substances for the cell, or breaking down cellular waste or toxins for disposal. Receptors on the plasma membrane's exterior surface interact with hormones or neurotransmitters, and allow their messages to be transmitted into the cell. Some recognition sites are used by viruses as attachment points. Although they are highly specific, pathogens like viruses may evolve to exploit receptors to gain entry to a cell by mimicking the specific substance that the receptor is meant to bind. This specificity helps to explain why human immunodeficiency virus (HIV) or any of the five types of hepatitis viruses invade only specific cells. Fluid Mosaic Model In 1972, S. J. Singer and Garth L. Nicolson proposed a new model of the plasma membrane that, compared to earlier understanding, better explained both microscopic observations and the function of the plasma membrane. This was called the fluid mosaic model. The model has evolved somewhat over time, but still best accounts for the 3 Cell Structure and Function structure and functions of the plasma membrane as we now understand them. The fluid mosaic model describes the structure of the plasma membrane as a mosaic of components including phospholipids, cholesterol, proteins, and carbohydrates in which the components are able to flow and change position, while maintaining the basic integrity of the membrane. Both phospholipid molecules and embedded proteins are able to diffuse rapidly and laterally in the membrane. The fluidity of the plasma membrane is necessary for the activities of certain enzymes and transport molecules within the membrane. Plasma membranes range from 10 nm thick. As a comparison, human red blood cells, visible via light microscopy, are approximately m thick, or approximately 1,000 times thicker than a plasma membrane. The plasma membrane is made up primarily of a bilayer of phospholipids with embedded proteins, carbohydrates, glycolipids, and glycoproteins, and, in animal cells, cholesterol. The amount of cholesterol in animal plasma membranes regulates the fluidity of the membrane and changes based on the temperature of the cell's environment. In other words, cholesterol acts as antifreeze in the cell membrane and is more abundant in animals that live in cold climates. The main fabric of the membrane is composed of two layers of phospholipid molecules, and the polar ends of these molecules (which look like a collection of balls in an artist's rendition of the model) are in contact with aqueous fluid both inside and outside the cell. Thus, both surfaces of the plasma membrane are hydrophilic.",3.4 The Cell Membrane,Biology,"plasma membrane, membrane, plasma, cell, cells"
